label,text
0,new address applespairsall malarky
1,today voda number ending selected receive award match please call quoting claim code standard rate app
0,going sao mu today done
0,predict wat time finish buying
0,good stuff
0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
0,room
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
0,kkhow much cost
0,im home
0,dear call tmorrowpls accomodate
0,first answer question
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone
1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt eca pmsgp
0,haf msn yijuehotmailcom
0,call meet
0,check room befor activity
1,youll rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
0,got c lazy type forgot lect saw pouch like v nice
0,k text youre way
0,sir waiting mail
0,swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni
0,know pls open back
0,yes see ya dot
0,whats staff name taking class u
1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
0,ummmawill call check inour life begin qatar pls pray hard
0,ki deleted contact
0,sindu got job birla soft
0,wine flowing im nevering
0,yup thk cine better co need go plaza mah
0,ok ur typical reply
0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
0,aaooooright work
0,im leaving house
0,hello love get interview today happy good boy think meare missing
1,customer service annoncement new year delivery waiting please call arrange delivery
1,winner u specially selected receive cash holiday flight inc speak live operator claim
0,keep safe need miss already envy everyone see real life
0,new car house parentsi new job hand
0,im love im excited day spend make happy
1,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd
1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu
0,place ur point e culture module already
1,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
0,hi frnd best way avoid missunderstding wit beloved one
0,great escape fancy bridge need lager see tomo
0,yes completely formclark also utter waste
0,sir need axis bank account bank address
0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
0,time coming later
0,bloody hell cant believe forgot surname mr ill give u clue spanish begin
0,well im gon na finish bath goodfine night
0,let know youve got money carlos make call
0,u still going mall
0,turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
0,text doesnt reply let know log
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes
0,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
0,lol u trust
0,ok gentleman treat dignity respect
0,guy close
0,going nothing greatbye
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
0,haha awesome minute
1,please call customer service representative freephone ampm guaranteed cash prize
0,got xmas radio time get
0,jus reached home go bathe first si using net tell u finish k
1,unique enough find th august wwwareyouuniquecouk
0,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
0,hi finally completed course
0,stop however suggest stay someone able give or every stool
0,hope youve settled new school year wishin gr day
0,gud mrng dear hav nice day
0,u got person story
0,hamster dead hey tmr meet pm orchard mrt
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
0,found enc ltgt
0,sent ltgt buck
0,hello darlin ive finished college txt u finish u love kate xxx
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt
0,goodmorning sleeping ga
0,u call alter ok
0,say like dat dun buy ericsson oso oredi lar
0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
0,aight yo dat straight dogg
0,please give u connection today ltdecimalgt refund bill
0,shoot big load get ready
0,whats bruv hope great break rewarding semester
0,home always chat
0,kkgoodstudy well
0,yup noe leh
0,sound great home
0,finally match heading towards draw prediction
0,tired havent slept well past night
0,easy ahsen got selected mean good
0,take exam march
0,yeah think use gt atm register sure there anyway help let know sure ready
0,ok prob take ur time
0,o called ubandu run without installing hard diskyou use o copy important file system give repair shop
0,sorry ill call later
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
1,new mobile must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg
0,would really appreciate call need someone talk
1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
0,dear good morning
0,get gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear going rubber place
0,sorry battery died yeah im
0,yeshere tv always available work place
1,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight penny
0,printed oh ltgt come upstairs
0,ill little closer like bus stop street
0,youwhen wil reach
0,new theory argument win situation loses person dont argue ur friend kick amp say im always correct
1,u secret admirer looking make contact ufind rreveal think ur specialcall
0,tomarrow final hearing laptop case cant
0,pleassssssseeeeee tel v avent done sportsx
0,okay shining meant signing sound better
0,although told u dat im baig face watch really like e watch u gave co fr u thanx everything dat uve done today im touched
0,u dont remember old commercial
0,late said website didnt dont slipper
0,asked call ok
0,kallis wont bat nd inning
0,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep
1,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage
0,ranjith cal drpd deeraj deepak min hold
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
0,doinghow
0,ups day also shipping company take wks way usps take week get lag may bribe nipost get stuff
0,im back lem know youre ready
0,dont necessarily expect done get back though im headin
0,mmm yummy babe nice jolt suzy
0,lover need
1,tried contact reply offer video handset anytime network min unlimited text camcorder reply call
0,im parked next mini coming today think
0,yup
0,anyway im going shopping co si done yet dun disturb u liao
0,luton ring ur around h
1,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
0,dint come u
0,wana plan trip sometme
0,sure yet still trying get hold
1,ur ringtone service changed free credit go clubmobilescom choose content stop txt club stop pwk club po box mk wt
0,evo download flash jealous
1,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
0,come mu sorting narcotic situation
0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
1,hmv bonus special pound genuine hmv voucher answer easy question play send hmv infowwwpercentrealcom
0,usf guess might well take car
0,objection bf coming
0,thanx
0,tell rob mack gf theater
0,awesome ill see bit
0,sent type food like
0,done handed celebration full swing yet
0,got called tool
0,wen u miss someone person definitely special u person special miss keepintouch gdeve
0,ok asked money far
0,okie
0,yeah think usual guy still passed last night get ahold anybody let know ill throw
0,k might come tonight class let early
0,ok
0,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx
0,life mean lot love life love people life world call friend call world ge
0,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense
0,hey told name gautham ah
0,haf u found feel stupid da v cam working
0,oops got bit
0,much buzy
0,accidentally deleted message resend please
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfebtcs apply
0,unless situation go gurl would appropriate
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,cant pick phone right pls send message
0,need coffee run tomocant believe time week already
0,awesome remember last time got somebody high first time diesel v
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
0,oh way food fridge want go meal tonight
0,womdarfull actor
1,sm ac blind date u rodds aberdeen united kingdom check httpimg sm acwicmbcktzr blind date send hide
0,yup remb think book
0,jos ask u wana meet
0,lol yes friendship hanging thread cause u wont buy stuff
1,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap
0,garage key arent bookshelf
0,today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
1,think ur smart win week weekly quiz text play nowtcs winnersclub po box uz gbpweek
0,say hell give call friend got money he definitely buying end week
0,hi way u day normal waythis real ur uniquei hope know u rest mylife hope u find wot lost
0,made day great day
0,kkadvance happy pongal
0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
0,really dude friend im afraid
1,december mobile mths entitled update latest colour camera mobile free call mobile update co free
0,coffee cake guess
0,merry christmas babe love ya kiss
0,hey dont go watch x men lunch haha
0,cud u tell ppl im gona b bit l co bus hav gon past co full im still waitin pete x
0,would great well guild could meet bristol road somewhere get touch weekend plan take flight good week
0,problem
0,callsmessagesmissed call
0,hi dahow today class
0,id say thats good sign well know track record reading woman
0,cool text youre parked
0,im reading text sent meant joke read light
0,kkapo kgood movie
0,maybe could get book tomo return immediately something
1,call germany penny per minute call fixed line via access number prepayment direct access
0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
1,valentine day special win quiz take partner trip lifetime send go pmsg rcvd custcare
0,tadaaaaa home babe still
0,cool come havent wined dined
0,sleepingand surfing
0,sorry ill call later
0,u calling right call hand phone
0,ok thats great thanx lot
0,take post come must text happy reading one wiv hello caroline end favourite bless
0,u hiding stranger
0,interested like
0,sister cleared two round birla soft yesterday
0,gudnitetcpractice going
0,dis yijue jus saw ur mail case huiming havent sent u num dis num
0,one small prestige problem
1,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per msg tncs website x
0,checking really miss seeing jeremiah great month
0,nah cant help ive never iphone
0,youre car hour half im going apeshit
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
0,yo guy ever figure much need alcohol jay trying figure much safely spend weed
0,ltgt ish minute minute ago wtf
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer
1,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage
1,ur cashbalance currently pound maximize ur cashin send cash pmsg cc hgsuitelands rowwjhl
0,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday
0,hello got st andrewsboy long way cold keep posted
0,ha ha cool cool chikku chikkudb
0,oh ok prob
0,check audreys status right
0,busy trying finish new year looking forward finally meeting
0,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always
0,well know z take care worry
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd calloptoutfq
1,discount code rp stop message reply stop wwwregalportfoliocouk customer service
0,wat uniform get
0,cool text youre ready
0,hello boytoy geeee miss already woke wish bed cuddling love
0,spoil bed well
0,im going bath msg next ltgt min
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
0,say happen
0,could seen mei didt recognise face
0,well there lot thing happening lindsay new year sigh bar ptbo blue heron something going
0,keep payasam rinu brings
0,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
0,guess thats worried must know there way body repair im quite sure shouldnt worry well take slow first test guide ovulation relax nothing youve said reason worry ill keep followin
0,yeah sure give couple minute track wallet
0,hey leave big deal take care
0,hey late ah meet
1,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd calloptoutndx
0,took mr owl lick
0,customer place call
0,mm time dont like fun
1,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update orstoptxt
0,yup lunch buffet u eat already
0,huh late fr dinner
0,hey sat going intro pilate kickboxing
0,morning ok
0,yes think office lap room think thats last day didnt shut
0,pick bout ish time going
0,performance award calculated every two monthnot current one month period
0,actually sleeping still might u call back text gr rock si send u text wen wake
0,always putting business put picture as facebook one open people ive ever met would think picture room would hurt make feel violated
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
0,hmmmkbut want change field quickly dai wan na get system administrator network administrator
1,free ringtone text first poly text get true tone help st free tone xpw end txt stop
0,dear chechi talk
0,hair cream shipped
0,none thats happening til get though
0,yep great loxahatchee xmas tree burning ltgt start hour
0,haha get used driving usf man know lot stoner
0,well slightly disastrous class pm fav darling hope day ok coffee wld good cant stay late tomorrow time place always
0,hello good week fancy drink something later
0,headin towards busetop
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
0,come room point iron plan weekend
0,co want thing
0,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah
0,bring home wendy
1,dating service call boxskch
0,whatsup dont u want sleep
0,alright new goal
1,free entry weekly competition text word win tc wwwtxttowincouk
0,alright ill head minute text meet
1,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ad p
0,yesfrom last week im taking live call
1,someone contacted dating service entered phone fancy find call landline poboxntfp
0,siva hostel aha
1,urgent mobile number awarded prize guaranteed call land line claim valid hr
0,send ur friend receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny ltgt irritating ltgt lovable reply
0,ok shell ok guess
0,aathiwhere dear
0,pain urination thing else
0,esplanade mind giving lift co got car today
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
0,home watching tv lor
0,usually take fifteen fucking minute respond yes question
1,congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wcnxx
0,booked ticket pongal
0,available im like right around hillsborough amp ltgt th
0,message sent askin ltgt dollar shoul pay ltgt ltgt
0,ask g iouri ive told story like ten time already
0,long applebees fucking take
0,hi hope u get txtjourney hasnt gdnow min late think
0,like love arrange
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get
0,supposed wake gt
0,oic saw tot din c found group liao
0,sorry ill call later
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausagelove jen xxx
0,sorry battery died come im getting gram wheres place
0,well done blimey exercise yeah kinda remember wot hmm
0,wont get concentration dear know mind everything
0,lol made plan new year
0,min later k
0,hank lotsly
0,thanks hope good day today
0,kkwhat detail want transferacc enough
0,ok tell stay yeah tough optimistic thing improve month
1,loan purpose homeowner tenant welcome previously refused still help call free text back help
0,si si think ill go make oreo truffle
0,look amy ure beautiful intelligent woman like u lot know u dont like like dont worry
0,hope thats result consistently intelligent kind start asking practicum link keep ear open best ttyl
0,call cost guess isnt bad miss ya need ya want ya love ya
0,going thru different feelingwavering decision coping individualtime heal everything believe
0,u go phone gon na die stay
0,great never better day give even reason thank god
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july tc apply optout available
0,sorry ill call later ok bye
0,ok way railway
0,great princess love giving receiving oral doggy style fave position enjoy making love ltgt time per night
0,dont put stuff road keep getting slippery
0,going ride bike
0,yup need ill jus wait e rain stop
0,many company tell language
1,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cwwx ppm
0,long since screamed princess
0,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollar got removed bank differ charge also differbe sure trust ja person sending account detail co
1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt eca pmsgp
0,nice line said broken heart plz dont cum time infront wise trust u good
0,ok im gon na head usf like fifteen minute
0,love aathilove u lot
0,tension ahwhat machiany problem
0,k pick another th youre done
0,whenre guy getting back g said thinking staying mcr
0,almost see u sec
0,yo carlos friend already asking working weekend
0,watching tv lor
0,thank baby cant wait taste real thing
0,change fb jaykwon thuglyfe falconerf
0,win really side long time
1,free message activate free text message replying message word free term condition visit wwwcom
0,dear reached railway happen
0,depends quality want type sent boye faded glory want ralphs maybe
0,think ive fixed send test message
0,sorry man account dry would want could trade back half could buy shit credit card
1,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss
0,sorryin meeting ill call later
0,class ltgt reunion
0,free nowcan call
0,got meh
0,nope think go monday sorry replied late
0,told accenture confirm true
0,kate jackson rec center ish right
0,dear reache room
0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
0,come
0,check nuerologist
0,lolnice went fish water
1,congratulation week competition draw u prize claim call b tcsstop sm ppm
0,waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat
0,maybe westshore hyde park village place near house
0,know hows anthony bringing money ive school fee pay rent stuff like thats need help friend need
0,whats significance
0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
0,latest g still scrounge ammo want give new ak try
0,prabhaim sorydarealyfrm heart im sory
0,lol ok forgiven
0,nojst change tat
1,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd
0,sno competition
1,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt
1,credit topped httpwwwbubbletextcom renewal pin tgxxrz
0,way transport less problematic sat night way u want ask n join bday feel free need know definite no booking fri
0,usually person unconscious thats child adult may behave abnormally ill call
0,thats ebay might less elsewhere
0,shall come get pickle
0,gon na go get taco
0,thats rude campus
1,urgent mobile awarded bonus caller prize nd attempt contact call boxqu
0,hi wont b ard christmas enjoy n merry xmas
1,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
0,yes pretty lady like single
1,recieve tone within next hr term condition please see channel u teletext pg
0,jay say youre doublefaggot
1,private account statement show unredeemed sim point call identifier code expires
0,todaysundaysunday holidayso work
0,gudnitetcpractice going
0,ill late
0,ive called hoping lr malaria know miss guy miss ban big pls give love especially great day
0,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
0,probably gon na see later tonight lt
0,maybe fat finger press button doesnt know
0,ummmmmaah many many happy return day dear sweet heart happy birthday dear
0,tirupur da started office call
1,wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop
0,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married
0,going college pa else ill come self pa
0,oclock mine bash flat plan
0,girl stay bed girl doesnt need recovery time id rather pas fun cooped bed
0,special
0,know need get hotel got invitation apologise cali sweet come english bloke weddin
0,sorry took long omw
0,wait ltgt min
0,ok give minute think see btw youre alibi cutting hair whole time
0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
0,hurry ive weeddeficient like three day
0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
0,ok every night take warm bath drink cup milk youll see work magic still need loose weight know
0,ill look frying pan case cheap book perhaps thats silly frying pan isnt likely book
0,well uv cause mutation sunscreen like essential thesedays
0,lunchyou onlinewhy
0,know friend already told
0,hi princess thank pic pretty
0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ahgee
0,hi msg meim office
0,thanx e brownie v nice
0,geeeee love much barely stand
1,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
0,fuck babe miss already know cant let send money towards net need want crave
0,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh
0,oooh bed ridden ey thinking
0,anyways go gym whatever love smile hope ok good day babe miss much already
0,love daddy make scream pleasure going slap as dick
0,wot u wan na missy
0,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
0,know lab goggles went
0,open door
0,waiting call
0,nope waiting sch daddy
1,cash prize claim call
0,im tired arguing week week want ill
0,wait sch finish ard
1,mobile number claim call u back ring claim hot line
0,arngd marriage u r walkin unfortuntly snake bite u bt love marriage dancing frnt snake amp sayin bite bite
0,huh early dinner outside izzit
0,ok anyway need change said
1,tried contact reply offer min textand new video phone call reply free delivery tomorrow
0,exwife able kid want kid one day
0,hows scotland hope showing jjc tendency take care live dream
0,tell u headache want use hour sick time
0,dun thk ill quit yet hmmm go jazz yogasana oso go meet em lesson den
0,pete please ring meive hardly gotany credit
0,ya srsly better yi tho
0,im meeting call later
1,ur chance win wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk
1,specially selected receive pound award call line close cost ppm tc apply ag promo
1,private account statement show unredeemed point call identifier code expires
0,still grand prix
0,met stranger choose friend long world stand friendship never end let friend forever gud nitz
0,great
0,gud mrng dear nice day
1,important customer service announcement call freephone
0,exhausted train morning much wine pie sleep well
0,im going buy mum present ar
0,mind blastin tsunami occur rajnikant stopped swimming indian oceand
0,u sending home first ok lor im ready yet
0,speaking cash yet
0,happy come noon
0,meet lunch la
0,take care n get well soon
1,xclusiveclubsaisai morow soiree speciale zouk nichols parisfree rose lady info
0,meant say cant wait see u getting bored bridgwater banter
0,neva mind ok
0,fine imma get drink somethin want come find
1,day kick euro u kept date latest news result daily removed send get txt stop
0,valentine game send dis msg ur friend answer r someone really love u ques colour suit bestrply
0,many dependent
0,thanx today cer nice catch ave find time often oh well take care c u soonc
0,called said himthen choose future
0,happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle st
0,like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
0,family happiness
0,come n pick come immediately aft ur lesson
0,let snow let snow kind weather brings ppl together friendship grow
0,dear got ltgt dollar hi hi
0,good word word may leave u dismay many time
0,make sure alex know birthday fifteen minute far youre concerned
0,sorry got thing may pub later
0,nah straight bring bud drink something thats actually little useful straight cash
0,haha good hear im officially paid market th
0,many lick take get center tootsie pop
0,yup thk r e teacher said make face look longer darren ask cut short
1,new textbuddy chat horny guy ur area p free receive search postcode gaytextbuddycom txt one name
1,today vodafone number ending selected receive award number match call receive award
0,please dont say like hi hi hi
0,thank u
0,oh forwarded message thought send
0,got seventeen pound seven hundred ml hope ok
1,dear voucher holder claim week offer pc go httpwwwetlpcoukexpressoffer tscs apply stop text txt stop
0,n funny
0,sweetheart hope kind day one load reason smile biola
0,login dat time dad fetching home
0,shower baby
0,askd u question hour answer
0,well imma definitely need restock thanksgiving ill let know im
0,said kiss kiss cant sound effect gorgeous man isnt kind person need smile brighten day
0,probably gon na swing wee bit
0,ya nice ready thursday
0,allo braved bus taken train triumphed mean bham jolly good rest week
0,watching cartoon listening music amp eve go temple amp church u
0,mind ask happened dont say uncomfortable
1,private account statement show unredeemed point call identifier code expires
0,prob send email
1,cash prize claim call tc rstm sw s ppm
0,thats cool sometimes slow gentle sonetimes rough hard
0,im gon na say sorry would normal starting panic time sorry seeing tuesday
0,wait know wesley town bet hella drug
0,fine miss much
0,u got person story
0,tell drug dealer getting impatient
0,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg u gud evng
0,place man
0,doesnt make sense take unless free need know wikipediacom
1,premium phone service call
0,sea lay rock rock envelope envelope paper paper word
0,mum repent
0,sorry going home first daddy come fetch later
0,leave de start prepare next
0,yes baby study position kama sutra
0,en chikku nange bakra msg kalstiyathen teacoffee
0,carlosll minute still need buy
0,pay ltdecimalgt lakh
0,good evening ttyl
0,u receive msg
0,ho ho big belly laugh see ya tomo
1,sm ac sun post helloyou seem cool wanted say hi hi stop send stop
